Quake Number,Location,Magnitude,Time
1163,"M 4.2 - 48km SSE of Pahala, Hawaii",4.18,2019-08-22 08:33:30
1164,M 4.7 - West Chile Rise,4.7,2019-08-22 08:33:16
1165,"M 4.1 - Izu Islands, Japan region",4.1,2019-08-22 06:39:58
1166,"M 4.4 - 174km SW of Mohean, India",4.4,2019-08-22 05:51:45
1167,"M 5.5 - 68km SSW of Pagan, Northern Mariana Islands",5.5,2019-08-22 05:02:40
1168,"M 4.8 - 14km E of Pujocucho, Peru",4.8,2019-08-22 04:59:05
1169,"M 4.8 - 44km N of Jorok Dalam, Indonesia",4.8,2019-08-22 02:58:41
1170,M 4.5 - South of Africa,4.5,2019-08-22 01:00:51
1171,"M 4.3 - 8km NNE of Lampa, Peru",4.3,2019-08-21 23:39:59
1172,"M 4.4 - 140km NE of Petropavlovsk-Kamchatskiy, Russia",4.4,2019-08-21 23:38:25
1173,M 4.9 - Chagos Archipelago region,4.9,2019-08-21 23:31:44
1174,"M 4.4 - 7km WNW of Bau, Philippines",4.4,2019-08-21 22:42:16
1175,"M 4.5 - 7km SE of Malitubog, Philippines",4.5,2019-08-21 22:36:15
1176,"M 4.5 - 48km SSW of Brooklyn, New Zealand",4.5,2019-08-21 22:10:48
1177,"M 4.2 - 123km WNW of Saumlaki, Indonesia",4.2,2019-08-21 21:39:10
1178,"M 4.1 - 24km E of Jesus Carranza, Mexico",4.1,2019-08-21 21:21:16
1179,"M 4.6 - 135km ENE of Luganville, Vanuatu",4.6,2019-08-21 19:08:14
1180,"M 4.4 - 110km S of Hihifo, Tonga",4.4,2019-08-21 18:26:35
1181,"M 5.0 - 80km SW of Taron, Papua New Guinea",5,2019-08-21 17:50:13
1182,"M 4.2 - 273km NW of Chichi-shima, Japan",4.2,2019-08-21 15:24:18
1183,"M 5.0 - 38km SSE of Khanabad, Afghanistan",5,2019-08-21 14:10:50
1184,"M 4.5 - 12km ENE of Lata, Solomon Islands",4.5,2019-08-21 14:03:12
1185,"M 4.5 - 57km E of Luganville, Vanuatu",4.5,2019-08-21 12:37:23
1186,"M 4.0 - 105km NNE of Xining, China",4,2019-08-21 11:20:20
1187,"M 4.3 - 158km W of Pangai, Tonga",4.3,2019-08-21 10:03:49
1188,M 6.0 - Western Indian-Antarctic Ridge,6,2019-08-21 08:28:25
1189,M 4.4 - Western Indian-Antarctic Ridge,4.4,2019-08-21 08:25:16
1190,"M 4.5 - 93km ENE of L'Esperance Rock, New Zealand",4.5,2019-08-21 07:34:55
1191,M 5.4 - Western Indian-Antarctic Ridge,5.4,2019-08-21 06:58:08
1192,"M 4.2 - Izu Islands, Japan region",4.2,2019-08-21 05:56:36
1193,"M 4.2 - 299km SSW of Ndoi Island, Fiji",4.2,2019-08-21 05:32:46
1194,M 4.6 - Western Indian-Antarctic Ridge,4.6,2019-08-21 04:59:13
1195,"M 4.0 - 66km NW of Bonjol, Indonesia",4,2019-08-21 04:24:48
1196,"M 4.1 - 32km SW of Ashkasham, Afghanistan",4.1,2019-08-21 04:22:41
1197,"M 4.5 - 91km WSW of Vallenar, Chile",4.5,2019-08-21 04:04:42
1198,"M 5.5 - 96km WNW of Panguna, Papua New Guinea",5.5,2019-08-21 03:24:54
1199,"M 4.9 - 130km NNE of Mohean, India",4.9,2019-08-21 03:19:12
1200,"M 4.9 - 183km E of Bouvet Island, Bouvet Island",4.9,2019-08-21 00:46:49
1201,"M 4.7 - 42km NNW of Neiafu, Tonga",4.7,2019-08-21 00:21:16
1202,"M 4.5 - 140km WSW of Raoul Island, New Zealand",4.5,2019-08-20 21:52:30
1203,"M 4.5 - 56km S of Obihiro, Japan",4.5,2019-08-20 21:35:25
1204,"M 4.5 - 71km S of Hirara, Japan",4.5,2019-08-20 19:35:31
1205,"M 4.0 - 115km NNW of Finschhafen, Papua New Guinea",4,2019-08-20 19:28:49
1206,"M 5.1 - 96km ESE of Pondaguitan, Philippines",5.1,2019-08-20 18:02:58
1207,"M 4.3 - 81km W of San Antonio de los Cobres, Argentina",4.3,2019-08-20 17:21:13
1208,"M 4.8 - 155km ENE of Anatahan, Northern Mariana Islands",4.8,2019-08-20 12:31:44
1209,"M 4.0 - 29km SW of Salamanca, Chile",4,2019-08-20 11:33:44
1210,"M 4.1 - 65km ENE of Antofagasta, Chile",4.1,2019-08-20 11:04:47
1211,"M 4.5 - 298km NNE of Ndoi Island, Fiji",4.5,2019-08-20 10:36:42
1212,"M 4.4 - 99km SSE of Raoul Island, New Zealand",4.4,2019-08-20 10:19:50
1213,"M 4.5 - 177km SSW of Ishigaki, Japan",4.5,2019-08-20 10:04:36
1214,M 4.7 - Off the coast of Central America,4.7,2019-08-20 09:47:23
1215,"M 4.5 - 155km N of Calama, Chile",4.5,2019-08-20 09:23:41
1216,M 4.5 - Central Mid-Atlantic Ridge,4.5,2019-08-20 08:12:59
1217,M 4.7 - Central Mid-Atlantic Ridge,4.7,2019-08-20 07:30:46
1218,"M 6.0 - 86km SE of Lata, Solomon Islands",6,2019-08-20 07:03:52
1219,"M 4.5 - 73km NW of Kandrian, Papua New Guinea",4.5,2019-08-20 06:56:15
1220,"M 5.4 - 139km ESE of Naze, Japan",5.4,2019-08-20 06:52:22
1221,"M 4.4 - 83km WNW of Abra Pampa, Argentina",4.4,2019-08-20 06:23:42
1222,"M 4.5 - 99km W of Port-Olry, Vanuatu",4.5,2019-08-20 06:13:11
1223,"M 4.9 - 254km WNW of Saumlaki, Indonesia",4.9,2019-08-20 05:35:20
1224,"M 4.7 - 96km N of Raoul Island, New Zealand",4.7,2019-08-20 05:16:50
1225,M 4.8 - Southern Mid-Atlantic Ridge,4.8,2019-08-20 04:59:25
1226,"M 4.6 - 108km SSW of Panguna, Papua New Guinea",4.6,2019-08-20 04:46:30
1227,"M 4.4 - 64km ESE of Tekirova, Turkey",4.4,2019-08-20 03:34:54
1228,"M 5.2 - 73km SE of Naze, Japan",5.2,2019-08-20 02:20:22
1229,"M 4.4 - 5km N of Liliongan, Philippines",4.4,2019-08-20 01:13:05
1230,"M 4.8 - 7km WSW of Naberera, Tanzania",4.8,2019-08-20 00:54:58
1231,"M 4.9 - 129km E of Pangai, Tonga",4.9,2019-08-20 00:19:58
1232,"M 4.6 - 55km S of Domartang, China",4.6,2019-08-19 19:08:53
1233,"M 4.3 - 86km SW of Nikol'skoye, Russia",4.3,2019-08-19 19:08:22
1234,M 4.1 - Western Xizang,4.1,2019-08-19 18:55:47
1235,M 4.3 - South of the Fiji Islands,4.3,2019-08-19 15:51:36
1236,"M 4.4 - 7km WNW of San Jose, Costa Rica",4.4,2019-08-19 15:25:50
1237,M 4.7 - Southwest Indian Ridge,4.7,2019-08-19 15:21:48
1238,"M 4.8 - 51km WNW of Kirakira, Solomon Islands",4.8,2019-08-19 14:58:09
1239,"M 4.5 - 141km E of Bitung, Indonesia",4.5,2019-08-19 14:05:22
1240,"M 4.4 - 105km ENE of Ndoi Island, Fiji",4.4,2019-08-19 13:05:17
1241,M 4.3 - South of the Fiji Islands,4.3,2019-08-19 13:01:29
1242,"M 4.2 - 94km W of Neiafu, Tonga",4.2,2019-08-19 12:47:27
1243,"M 4.6 - 159km ENE of L'Esperance Rock, New Zealand",4.6,2019-08-19 12:02:56
1244,"M 4.4 - 277km NE of Dili, East Timor",4.4,2019-08-19 11:30:49
1245,"M 4.3 - 13km WNW of Cempa, Indonesia",4.3,2019-08-19 11:14:11
1246,"M 4.4 - 98km ENE of Bitung, Indonesia",4.4,2019-08-19 10:53:38
1247,"M 4.6 - 138km ESE of Iquique, Chile",4.6,2019-08-19 10:04:55
1248,"M 4.2 - 45km NNE of Severo-Kuril'sk, Russia",4.2,2019-08-19 07:54:44
1249,"M 4.2 - 72km NE of La Serena, Chile",4.2,2019-08-19 07:49:17
1250,"M 4.2 - 125km NW of Neiafu, Tonga",4.2,2019-08-19 07:40:36
1251,"M 4.5 - 40km S of Sarkand, Kazakhstan",4.5,2019-08-19 07:14:43
1252,"M 4.3 - 176km W of Abepura, Indonesia",4.3,2019-08-19 06:46:57
1253,"M 4.8 - 24km SSW of Jiquilillo, Nicaragua",4.8,2019-08-19 05:37:02
1254,"M 4.6 - 13km SW of Irapa, Venezuela",4.6,2019-08-19 04:45:31
1255,"M 4.3 - 39km NW of Castlepoint, New Zealand",4.3,2019-08-19 01:28:47
1256,"M 4.9 - 107km SW of Bristol Island, South Sandwich Islands",4.9,2019-08-19 00:06:08
1257,"M 4.9 - 93km NE of Laiwui, Indonesia",4.9,2019-08-18 23:53:47
1258,"M 4.7 - 24km S of Huayucachi, Peru",4.7,2019-08-18 23:37:43
1259,"M 4.4 - 66km NNW of Asan-Maina Village, Guam",4.4,2019-08-18 23:01:08
1260,"M 4.2 - 208km WSW of Beringovskiy, Russia",4.2,2019-08-18 22:47:42
1261,"M 5.2 - 188km SSE of Bristol Island, South Sandwich Islands",5.2,2019-08-18 21:44:17
1262,"M 4.2 - 39km WNW of Sandy Bay, Honduras",4.2,2019-08-18 21:26:03
1263,M 4.2 - South of the Fiji Islands,4.2,2019-08-18 20:57:38
1264,"M 4.1 - 2km SSW of Mamala, Philippines",4.1,2019-08-18 20:55:29
1265,"M 4.5 - 170km SSE of Sarangani, Philippines",4.5,2019-08-18 19:57:50
1266,"M 4.1 - 109km WSW of Poopo, Bolivia",4.1,2019-08-18 18:28:13
1267,"M 4.3 - 68km WNW of Laiwui, Indonesia",4.3,2019-08-18 16:05:19
1268,"M 4.1 - 50km NNE of Putre, Chile",4.1,2019-08-18 15:22:20
1269,"M 4.5 - 120km WSW of Kabanjahe, Indonesia",4.5,2019-08-18 13:18:54
1270,"M 4.3 - 143km E of Iquique, Chile",4.3,2019-08-18 13:13:59
1271,"M 5.0 - 89km E of Anatahan, Northern Mariana Islands",5,2019-08-18 12:55:11
1272,"M 4.9 - 85km ENE of Anatahan, Northern Mariana Islands",4.9,2019-08-18 12:49:15
1273,"M 5.9 - 75km ENE of Anatahan, Northern Mariana Islands",5.9,2019-08-18 12:00:25
1274,"M 4.2 - 13km N of Aratoca, Colombia",4.2,2019-08-18 07:45:56
1275,"M 4.7 - 242km NNW of Farallon de Pajaros, Northern Mariana Islands",4.7,2019-08-18 07:02:13
1276,"M 4.1 - 32km WSW of Tennant Creek, Australia",4.1,2019-08-18 06:49:44
1277,"M 4.4 - 40km ENE of Rota, Northern Mariana Islands",4.4,2019-08-18 05:50:44
1278,"M 4.7 - 280km NNE of Yeppoon, Australia",4.7,2019-08-18 05:38:41
1279,"M 4.3 - 121km NNW of Nuku`alofa, Tonga",4.3,2019-08-18 04:22:59
1280,"M 4.5 - 37km N of Murakami, Japan",4.5,2019-08-18 04:06:41
1281,"M 5.0 - 10km NNE of La Troncal, Ecuador",5,2019-08-18 03:28:29
1282,"M 4.1 - 5km WSW of South Hutchinson, Kansas",4.1,2019-08-18 02:45:29
1283,"M 4.5 - 92km WSW of Nikol'skoye, Russia",4.5,2019-08-18 01:52:43
1284,"M 4.3 - 49km NE of Rumung, Micronesia",4.3,2019-08-18 01:41:22
1285,"M 4.8 - 127km SSE of Kupang, Indonesia",4.8,2019-08-18 01:06:43
1286,"M 5.0 - 39km SSE of Churachandpur, India",5,2019-08-18 00:28:34
1287,"M 4.5 - 163km W of Tual, Indonesia",4.5,2019-08-17 22:19:20
1288,"M 4.9 - 29km SSW of Hualian, Taiwan",4.9,2019-08-17 22:05:15
1289,"M 4.8 - 82km W of Myanaung, Burma",4.8,2019-08-17 21:38:13
1290,"M 5.2 - 80km WSW of Prome, Burma",5.2,2019-08-17 21:24:21
1291,"M 4.6 - 13km NNE of Monteagudo, Bolivia",4.6,2019-08-17 19:50:20
1292,"M 4.2 - 96km WSW of Abra Pampa, Argentina",4.2,2019-08-17 18:35:54
1293,"M 4.4 - 146km SSW of Acajutla, El Salvador",4.4,2019-08-17 18:17:55
1294,"M 4.5 - 51km E of Agrihan, Northern Mariana Islands",4.5,2019-08-17 17:55:50
1295,"M 4.4 - 17km WNW of Zharkent, Kazakhstan",4.4,2019-08-17 17:07:48
1296,"M 4.3 - 255km SSE of Iwo Jima, Japan",4.3,2019-08-17 16:36:06
1297,"M 5.0 - Izu Islands, Japan region",5,2019-08-17 16:28:37
1298,"M 4.8 - 143km E of L'Esperance Rock, New Zealand",4.8,2019-08-17 15:54:02
1299,"M 4.1 - 44km NNW of Lipari, Italy",4.1,2019-08-17 15:35:13
1300,"M 4.3 - 99km ESE of Aozhong, China",4.3,2019-08-17 14:48:02
1301,"M 4.3 - 116km SE of Cold Bay, Alaska",4.3,2019-08-17 14:33:45
1302,M 4.6 - Mid-Indian Ridge,4.6,2019-08-17 13:28:26
1303,"M 4.0 - 73km W of Panguna, Papua New Guinea",4,2019-08-17 12:59:30
1304,"M 4.3 - 18km NNE of Bulakamba, Indonesia",4.3,2019-08-17 11:23:36
1305,"M 4.5 - 25km ENE of Naisano Dua, Indonesia",4.5,2019-08-17 09:37:41
1306,"M 4.6 - 31km S of Hualian, Taiwan",4.6,2019-08-17 08:52:05
1307,"M 4.2 - 18km S of Taron, Papua New Guinea",4.2,2019-08-17 08:23:00
1308,"M 4.9 - 83km WNW of Bengkulu, Indonesia",4.9,2019-08-17 07:54:44
1309,M 4.5 - Kuril Islands,4.5,2019-08-17 06:54:49
1310,"M 4.2 - 46km ENE of Kawangu, Indonesia",4.2,2019-08-17 06:42:42
1311,"M 4.8 - 81km SW of Jiquilillo, Nicaragua",4.8,2019-08-17 06:34:34
1312,"M 4.5 - 247km SE of Sarangani, Philippines",4.5,2019-08-17 06:00:07
1313,"M 4.3 - 18km NW of Curiapo, Venezuela",4.3,2019-08-17 05:02:26
1314,"M 4.3 - 32km WSW of Coquimbo, Chile",4.3,2019-08-17 03:18:21
1315,"M 4.5 - 190km WSW of Kuripan, Indonesia",4.5,2019-08-17 02:51:07
1316,"M 4.6 - 103km SSE of Lata, Solomon Islands",4.6,2019-08-17 02:40:08
1317,M 4.7 - Kuril Islands,4.7,2019-08-17 01:18:07
1318,"M 4.6 - 32km SSE of Ndoi Island, Fiji",4.6,2019-08-16 23:26:35
1319,"M 4.3 - 42km SW of Sindanglaut, Indonesia",4.3,2019-08-16 23:18:28
1320,"M 4.2 - 140km ENE of Palue, Indonesia",4.2,2019-08-16 22:41:00
1321,"M 4.2 - 21km WNW of Manado, Indonesia",4.2,2019-08-16 22:00:22
1322,"M 4.6 - 58km SW of Lithakia, Greece",4.6,2019-08-16 20:22:08
1323,"M 4.1 - 24km SSE of Molina, Chile",4.1,2019-08-16 18:09:25
1324,M 5.2 - South of Tonga,5.2,2019-08-16 17:30:07
1325,M 4.3 - Fiji region,4.3,2019-08-16 17:26:30
1326,"M 4.1 - 127km S of Bandar Bushehr, Iran",4.1,2019-08-16 14:18:30
1327,"M 4.9 - 196km NW of Tobelo, Indonesia",4.9,2019-08-16 13:51:40
1328,"M 5.0 - 45km E of Taron, Papua New Guinea",5,2019-08-16 13:50:04
1329,"M 4.4 - 68km NE of Luganville, Vanuatu",4.4,2019-08-16 11:43:46
1330,M 4.3 - Banda Sea,4.3,2019-08-16 11:01:31
1331,"M 4.5 - 134km ESE of Visokoi Island, South Georgia and the South Sandwich Islands",4.5,2019-08-16 10:39:48
1332,M 5.4 - Off the coast of Oregon,5.4,2019-08-16 09:23:18
1333,"M 4.3 - 39km NNE of Calama, Chile",4.3,2019-08-16 08:36:14
1334,"M 4.2 - 173km ENE of Naze, Japan",4.2,2019-08-16 08:02:18
1335,"M 4.2 - 3km W of South Hutchinson, Kansas",4.2,2019-08-16 06:59:10
1336,"M 4.1 - 203km W of Broome, Australia",4.1,2019-08-16 06:25:43
1337,"M 4.0 - 45km E of Ilam, Iran",4,2019-08-16 05:31:26
1338,"M 4.5 - 22km ESE of Kokopo, Papua New Guinea",4.5,2019-08-16 05:03:23
1339,"M 4.3 - 40km ESE of Tabriz, Iran",4.3,2019-08-16 04:55:07
1340,"M 4.4 - 18km S of Kandrian, Papua New Guinea",4.4,2019-08-16 04:04:16
1341,"M 4.4 - 93km SE of Amsterdam Island, France",4.4,2019-08-16 02:59:16
1342,"M 4.3 - 168km ENE of Taltal, Chile",4.3,2019-08-16 01:53:37
1343,"M 4.5 - 127km NW of Nikol'skoye, Russia",4.5,2019-08-16 01:49:15
1344,"M 4.5 - 112km NW of L'Esperance Rock, New Zealand",4.5,2019-08-16 01:25:08
1345,"M 4.2 - Kepulauan Barat Daya, Indonesia",4.2,2019-08-15 23:41:15
1346,"M 4.2 - 129km NNE of Hirara, Japan",4.2,2019-08-15 23:19:22
1347,"M 4.3 - 30km WNW of Mutsu, Japan",4.3,2019-08-15 22:37:49
1348,"M 4.3 - 109km SE of Ndoi Island, Fiji",4.3,2019-08-15 22:33:17
1349,M 4.9 - Kuril Islands,4.9,2019-08-15 22:31:58
1350,"M 4.7 - 45km N of Hihifo, Tonga",4.7,2019-08-15 21:19:02
1351,"M 4.0 - 18km ENE of Esterhazy, Canada",4,2019-08-15 20:30:46
1352,"M 5.1 - 46km N of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",5.1,2019-08-15 20:09:20
1353,"M 4.4 - 112km E of Yamada, Japan",4.4,2019-08-15 19:22:52
1354,"M 4.2 - 289km N of Ndoi Island, Fiji",4.2,2019-08-15 18:35:35
1355,"M 4.5 - 183km SSE of `Ohonua, Tonga",4.5,2019-08-15 18:03:18
1356,"M 4.2 - 4km NW of Manhattan, Montana",4.2,2019-08-15 18:02:37
1357,"M 4.5 - 104km SSW of Merizo Village, Guam",4.5,2019-08-15 10:40:47
1358,"M 4.8 - 34km NW of Campoverde, Peru",4.8,2019-08-15 10:06:50
1359,"M 4.3 - 29km W of Ponot, Philippines",4.3,2019-08-15 09:51:04
1360,"M 4.5 - 123km NNE of Isangel, Vanuatu",4.5,2019-08-15 09:42:44
1361,"M 4.5 - 144km E of L'Esperance Rock, New Zealand",4.5,2019-08-15 09:31:30
1362,"M 4.4 - 163km S of Itoman, Japan",4.4,2019-08-15 08:30:35
1363,"M 4.9 - 75km W of Coquimbo, Chile",4.9,2019-08-15 08:23:40
1364,M 5.0 - East of the Kuril Islands,5,2019-08-15 07:54:31
1365,"M 4.5 - 84km W of Cangkeuteuk Sabrang, Indonesia",4.5,2019-08-15 06:13:39
1366,"M 4.6 - 97km NNE of Nago, Japan",4.6,2019-08-15 05:19:04
1367,"M 4.3 - 5km S of Cuajinicuilapa, Mexico",4.3,2019-08-15 05:01:06
1368,"M 5.5 - 154km NW of Ceva-i-Ra, Fiji",5.5,2019-08-15 04:38:32
1369,"M 4.1 - 72km W of Abra Pampa, Argentina",4.1,2019-08-15 03:56:00
1370,"M 4.8 - 106km SSE of Obihiro, Japan",4.8,2019-08-15 03:15:03
1371,"M 4.8 - 70km SE of Ofunato, Japan",4.8,2019-08-15 03:07:37
1372,"M 4.5 - 70km E of Lakatoro, Vanuatu",4.5,2019-08-15 02:08:18
1373,"M 4.3 - 89km E of Ust'-Kamchatsk Staryy, Russia",4.3,2019-08-15 01:24:41
1374,"M 4.9 - 78km W of San Antonio de los Cobres, Argentina",4.9,2019-08-15 00:25:52
1375,"M 4.7 - 157km NNW of Bereeda, Somalia",4.7,2019-08-15 00:24:31
1376,"M 4.7 - 29km NNW of Misawa, Japan",4.7,2019-08-15 00:06:09
1377,"M 5.4 - 18km NNW of Misawa, Japan",5.4,2019-08-14 23:32:53
1378,"M 4.1 - 160km W of Bandon, Oregon",4.1,2019-08-14 21:16:03
1379,"M 4.2 - 93km W of San Antonio de los Cobres, Argentina",4.2,2019-08-14 20:36:28
1380,M 4.1 - South of the Fiji Islands,4.1,2019-08-14 20:13:52
1381,"M 4.4 - 127km S of Kokopo, Papua New Guinea",4.4,2019-08-14 19:03:30
1382,"M 4.9 - 59km S of Domartang, China",4.9,2019-08-14 17:47:03
1383,"M 4.6 - 225km ENE of Georgetown, Saint Helena",4.6,2019-08-14 17:13:50
1384,"M 4.6 - 37km NE of Tobelo, Indonesia",4.6,2019-08-14 16:43:05
1385,"M 4.6 - 127km SSW of Banda Aceh, Indonesia",4.6,2019-08-14 15:56:25
1386,"M 5.9 - 262km NE of Socorro Island, Mexico",5.9,2019-08-14 15:35:18
1387,"M 4.3 - 57km S of Iquique, Chile",4.3,2019-08-14 15:33:11
1388,M 4.7 - Southern Mid-Atlantic Ridge,4.7,2019-08-14 13:51:51
1389,"M 4.2 - 282km N of Ndoi Island, Fiji",4.2,2019-08-14 13:46:49
1390,"M 4.1 - 263km ENE of Dili, East Timor",4.1,2019-08-14 13:19:16
1391,"M 4.3 - 92km WSW of Nikol'skoye, Russia",4.3,2019-08-14 13:01:10
1392,M 4.8 - Southwest Indian Ridge,4.8,2019-08-14 12:17:25
1393,M 4.4 - South of the Fiji Islands,4.4,2019-08-14 12:06:59
1394,"M 4.4 - 213km ESE of Kimbe, Papua New Guinea",4.4,2019-08-14 11:49:41
1395,"M 4.4 - 51km S of Putre, Chile",4.4,2019-08-14 06:23:08
1396,"M 4.1 - 124km ESE of Taron, Papua New Guinea",4.1,2019-08-14 05:29:16
1397,"M 4.8 - 159km E of L'Esperance Rock, New Zealand",4.8,2019-08-14 05:00:08
1398,"M 4.9 - 46km S of Domartang, China",4.9,2019-08-14 02:13:54
1399,M 4.7 - Timor Sea,4.7,2019-08-14 01:56:33
1400,"M 4.6 - 195km N of Madang, Papua New Guinea",4.6,2019-08-14 00:39:50
1401,"M 4.4 - 40km W of Lluta, Peru",4.4,2019-08-13 23:02:55
1402,"M 5.2 - 282km W of Bouvet Island, Bouvet Island",5.2,2019-08-13 21:02:28
1403,"M 4.3 - 94km NE of Laiwui, Indonesia",4.3,2019-08-13 20:50:03
1404,"M 4.2 - 43km ESE of Hihifo, Tonga",4.2,2019-08-13 19:57:23
1405,"M 4.5 - 81km N of Agrihan, Northern Mariana Islands",4.5,2019-08-13 19:39:41
1406,"M 4.6 - 134km WSW of Gustavus, Alaska",4.6,2019-08-13 19:08:30
1407,"M 4.2 - 28km NE of Lata, Solomon Islands",4.2,2019-08-13 18:00:49
1408,"M 4.1 - 152km NNW of Tabas, Iran",4.1,2019-08-13 17:31:09
1409,M 4.7 - Southwest Indian Ridge,4.7,2019-08-13 17:02:30
1410,"M 4.1 - 46km ENE of Shughnon, Tajikistan",4.1,2019-08-13 16:57:19
1411,"M 4.7 - 7km ENE of Tandag, Philippines",4.7,2019-08-13 16:12:38
1412,"M 4.5 - 65km ESE of Ofunato, Japan",4.5,2019-08-13 16:02:50
1413,"M 4.5 - 25km NNW of Platanos, Greece",4.5,2019-08-13 15:11:21
1414,"M 4.7 - 87km NNW of Kefamenanu, Indonesia",4.7,2019-08-13 12:48:22
1415,"M 5.2 - 106km S of Sungaipenuh, Indonesia",5.2,2019-08-13 12:38:38
1416,"M 4.6 - 128km SW of Lata, Solomon Islands",4.6,2019-08-13 12:29:24
1417,"M 4.4 - 218km SE of Lambasa, Fiji",4.4,2019-08-13 12:14:52
1418,"M 4.2 - 246km E of L'Esperance Rock, New Zealand",4.2,2019-08-13 11:50:39
1419,"M 4.3 - 163km ENE of L'Esperance Rock, New Zealand",4.3,2019-08-13 10:22:33
1420,"M 4.9 - 66km SW of La Union, Peru",4.9,2019-08-13 09:50:02
1421,"M 4.4 - 142km ENE of L'Esperance Rock, New Zealand",4.4,2019-08-13 09:48:17
1422,"M 4.4 - 34km WSW of Puerto Madero, Mexico",4.4,2019-08-13 09:30:56
1423,"M 4.9 - 127km S of Sidorukun, Indonesia",4.9,2019-08-13 07:40:09
1424,"M 4.2 - 153km N of Sola, Vanuatu",4.2,2019-08-13 06:23:09
1425,"M 4.6 - 9km WNW of Berceto, Italy",4.6,2019-08-13 05:17:18
1426,"M 4.0 - 72km W of Taltal, Chile",4,2019-08-13 05:13:41
1427,M 4.4 - South of the Fiji Islands,4.4,2019-08-13 04:26:20
1428,M 4.6 - Central East Pacific Rise,4.6,2019-08-13 04:23:39
1429,"M 4.9 - 115km S of Sidorukun, Indonesia",4.9,2019-08-13 04:21:32
1430,"M 4.3 - 47km SSE of Tobelo, Indonesia",4.3,2019-08-13 02:47:14
1431,"M 4.3 - 57km SSE of Panguipulli, Chile",4.3,2019-08-13 01:46:15
1432,M 4.3 - South of the Fiji Islands,4.3,2019-08-13 01:31:21
1433,"M 4.4 - 65km E of Ust'-Kamchatsk Staryy, Russia",4.4,2019-08-13 01:16:04
1434,"M 5.2 - 150km E of L'Esperance Rock, New Zealand",5.2,2019-08-13 00:35:01
1435,"M 4.4 - 37km NE of Calama, Chile",4.4,2019-08-12 22:53:50
1436,"M 4.6 - 99km NNW of Sola, Vanuatu",4.6,2019-08-12 21:58:53
1437,"M 4.1 - 115km ENE of Ndoi Island, Fiji",4.1,2019-08-12 21:33:51
1438,"M 4.7 - 42km ESE of Lamitan, Philippines",4.7,2019-08-12 21:30:30
1439,"M 4.4 - 29km SSE of Jarm, Afghanistan",4.4,2019-08-12 20:58:49
1440,"M 4.5 - 231km ESE of Lambasa, Fiji",4.5,2019-08-12 20:36:27
1441,"M 4.6 - 299km SW of Ceduna, Australia",4.6,2019-08-12 20:14:45
1442,"M 4.9 - 138km ENE of L'Esperance Rock, New Zealand",4.9,2019-08-12 19:45:51
1443,"M 4.3 - 293km ESE of Lambasa, Fiji",4.3,2019-08-12 19:10:36
1444,"M 4.0 - 57km ESE of Karpathos, Greece",4,2019-08-12 17:38:53
1445,"M 4.2 - 46km NNW of Pagudpud, Philippines",4.2,2019-08-12 16:51:50
1446,M 5.2 - South Indian Ocean,5.2,2019-08-12 16:40:58
1447,"M 4.7 - 18km S of Changning, China",4.7,2019-08-12 16:31:54
1448,"M 4.6 - 150km ENE of L'Esperance Rock, New Zealand",4.6,2019-08-12 16:22:31
1449,"M 4.2 - 95km NNE of Laiwui, Indonesia",4.2,2019-08-12 16:14:48
1450,"M 4.6 - Xinjiang-Qinghai border region, China",4.6,2019-08-12 16:09:47
1451,"M 4.5 - 153km ENE of L'Esperance Rock, New Zealand",4.5,2019-08-12 15:55:48
1452,"M 4.5 - 113km SE of Arica, Chile",4.5,2019-08-12 15:40:19
1453,"M 4.0 - 211km ESE of Lambasa, Fiji",4,2019-08-12 15:05:47
1454,"M 5.4 - 12km S of Tonala, Mexico",5.4,2019-08-12 14:39:34
1455,"M 4.6 - 224km NNE of Newman, Australia",4.6,2019-08-12 13:11:48
1456,"M 4.6 - 15km SSE of Visokoi Island, South Georgia and the South Sandwich Islands",4.6,2019-08-12 12:54:53
1457,M 4.7 - South of the Fiji Islands,4.7,2019-08-12 11:20:23
1458,"M 4.0 - 270km W of Sachs Harbour, Canada",4,2019-08-12 11:17:28
1459,"M 4.6 - 12km NE of Uzgen, Kyrgyzstan",4.6,2019-08-12 11:14:44
1460,"M 4.1 - 229km ESE of Hotan, China",4.1,2019-08-12 10:30:51
1461,"M 4.4 - 9km NNE of Kurbnesh, Albania",4.4,2019-08-12 09:37:09
1462,"M 4.5 - 8km ENE of Papa'ikou, Hawaii",4.52,2019-08-12 08:41:56
1463,"M 4.7 - 71km N of Dobo, Indonesia",4.7,2019-08-12 07:57:54
1464,"M 4.5 - 48km WNW of Jamshoro, Pakistan",4.5,2019-08-12 07:36:58
1465,"M 4.1 - 11km E of Hazro, Turkey",4.1,2019-08-12 07:34:28
1466,"M 4.1 - 131km SW of Leksula, Indonesia",4.1,2019-08-12 07:00:11
1467,"M 4.5 - 54km W of Sardinal, Costa Rica",4.5,2019-08-12 06:25:50
1468,"M 4.4 - 56km SSE of Pondaguitan, Philippines",4.4,2019-08-12 04:38:13
1469,"M 5.4 - 80km NW of Queenstown, New Zealand",5.4,2019-08-12 04:35:28
1470,"M 4.2 - 88km ENE of Ndoi Island, Fiji",4.2,2019-08-12 03:27:45
